datetime,plotcode,A,B
2021-01-05 13:00:00,1A15M,2.646333333333333,1.2193333333333334
2021-01-05 13:30:00,1A15M,2.64,1.2746666666666662
2021-01-05 14:00:00,1A15M,2.635666666666666,1.314666666666667
2021-01-05 14:30:00,1A15M,2.6299999999999994,1.3066666666666673
2021-01-05 15:00:00,1A15M,2.6299999999999994,1.3173333333333332
2021-01-05 15:30:00,1A15M,2.6299999999999994,1.3350000000000006
2021-01-05 16:00:00,1A15M,2.625666666666667,1.3390000000000002
2021-01-05 16:30:00,1A15M,2.620666666666668,1.3240000000000005
2021-01-05 17:00:00,1A15M,2.6203333333333343,1.2923333333333338
2021-01-05 17:30:00,1A15M,2.6210000000000004,1.2596666666666667
2021-01-05 13:00:00,1A16M,1.1923333333333337,
2021-01-05 13:30:00,1A16M,1.2396666666666665,
2021-01-05 14:00:00,1A16M,1.2283333333333333,
2021-01-05 14:30:00,1A16M,1.211,
2021-01-05 15:00:00,1A16M,1.2246666666666663,
2021-01-05 15:30:00,1A16M,1.238333333333333,
2021-01-05 16:00:00,1A16M,1.2173333333333336,
2021-01-05 16:30:00,1A16M,1.1826666666666663,
2021-01-05 17:00:00,1A16M,1.136,
2021-01-05 17:30:00,1A16M,1.12,
2021-01-05 13:00:00,1A17M,,1.7053333333333334
2021-01-05 13:30:00,1A17M,,1.7193333333333325
2021-01-05 14:00:00,1A17M,,1.7353333333333338
2021-01-05 14:30:00,1A17M,,1.75
2021-01-05 15:00:00,1A17M,,1.7596666666666665
2021-01-05 15:30:00,1A17M,,1.767333333333334
2021-01-05 16:00:00,1A17M,,1.775666666666667
2021-01-05 16:30:00,1A17M,,1.7800000000000002
2021-01-05 17:00:00,1A17M,,1.7800000000000002
2021-01-05 17:30:00,1A17M,,1.7710000000000008
2021-01-05 13:00:00,1A18M,,
2021-01-05 13:30:00,1A18M,,
2021-01-05 14:00:00,1A18M,,
2021-01-05 14:30:00,1A18M,,
2021-01-05 15:00:00,1A18M,,
2021-01-05 15:30:00,1A18M,,
2021-01-05 16:00:00,1A18M,,
2021-01-05 16:30:00,1A18M,,
2021-01-05 17:00:00,1A18M,,
2021-01-05 17:30:00,1A18M,,
2021-01-05 13:00:00,1A19M,1.208333333333333,1.8400000000000007
2021-01-05 13:30:00,1A19M,1.2676666666666665,1.849333333333334
2021-01-05 14:00:00,1A19M,1.2586666666666668,1.8609999999999995
2021-01-05 14:30:00,1A19M,1.233666666666667,1.873333333333334
2021-01-05 15:00:00,1A19M,1.2499999999999998,1.8800000000000003
2021-01-05 15:30:00,1A19M,1.265,1.8876666666666664
2021-01-05 16:00:00,1A19M,1.2363333333333333,1.891
2021-01-05 16:30:00,1A19M,1.1899999999999995,1.8976666666666664
2021-01-05 17:00:00,1A19M,1.125,1.8946666666666667
2021-01-05 17:30:00,1A19M,1.091666666666667,1.8896666666666668
2021-01-05 13:00:00,1A20M,1.1439999999999997,
2021-01-05 13:30:00,1A20M,1.1903333333333337,
2021-01-05 14:00:00,1A20M,1.2033333333333331,
2021-01-05 14:30:00,1A20M,1.1910000000000005,
2021-01-05 15:00:00,1A20M,1.2036666666666669,
2021-01-05 15:30:00,1A20M,1.218333333333333,
2021-01-05 16:00:00,1A20M,1.2063333333333337,
2021-01-05 16:30:00,1A20M,1.179333333333333,
2021-01-05 17:00:00,1A20M,1.1376666666666666,
2021-01-05 17:30:00,1A20M,1.1123333333333334,
2021-01-05 13:00:00,1A21M,1.5563333333333336,2.121
2021-01-05 13:30:00,1A21M,1.59,2.124333333333334
2021-01-05 14:00:00,1A21M,1.6179999999999997,2.1300000000000003
2021-01-05 14:30:00,1A21M,1.6199999999999997,2.1300000000000003
2021-01-05 15:00:00,1A21M,1.621,2.1396666666666664
2021-01-05 15:30:00,1A21M,1.6296666666666673,2.14
2021-01-05 16:00:00,1A21M,1.6273333333333326,2.1476666666666664
2021-01-05 16:30:00,1A21M,1.6133333333333335,2.1499999999999995
2021-01-05 17:00:00,1A21M,1.5843333333333334,2.1499999999999995
2021-01-05 17:30:00,1A21M,1.5559999999999996,2.1499999999999995
2021-01-05 13:00:00,1A22M,2.680000000000001,3.0900000000000007
2021-01-05 13:30:00,1A22M,2.6826666666666665,3.0900000000000007
2021-01-05 14:00:00,1A22M,2.6899999999999995,3.0900000000000007
2021-01-05 14:30:00,1A22M,2.690333333333333,3.0900000000000007
2021-01-05 15:00:00,1A22M,2.6990000000000007,3.0900000000000007
2021-01-05 15:30:00,1A22M,2.700000000000001,3.0900000000000007
